Wert;Label;Gemeinde;Kanton;Jahr
Arzier-Le Muids;GEMEINDE;Arzier-Le Muids;VD;2018
290;WOHNEN;Arzier-Le Muids;VD;2018
17;ARBEITSMARKT;Arzier-Le Muids;VD;2018
10;BEVÖLKERUNG;Arzier-Le Muids;VD;2018
641;STEUERBELASTUNG;Arzier-Le Muids;VD;2018
782;ERREICHBARKEIT;Arzier-Le Muids;VD;2018
694;VERSORGUNG;Arzier-Le Muids;VD;2018
743;SICHERHEIT;Arzier-Le Muids;VD;2018
262;RANG;Weinfelden;TG;2018
TG;KANTON;Weinfelden;TG;2018
Weinfelden;GEMEINDE;Weinfelden;TG;2018
55;WOHNEN;Weinfelden;TG;2018
438;ARBEITSMARKT;Weinfelden;TG;2018
383;BEVÖLKERUNG;Weinfelden;TG;2018
314;STEUERBELASTUNG;Weinfelden;TG;2018
630;ERREICHBARKEIT;Weinfelden;TG;2018
91;VERSORGUNG;Weinfelden;TG;2018
303;SICHERHEIT;Weinfelden;TG;2018
263;RANG;Freienstein-Teufen;ZH;2018
ZH;KANTON;Freienstein-Teufen;ZH;2018
Freienstein-Teufen;GEMEINDE;Freienstein-Teufen;ZH;2018
262;WOHNEN;Freienstein-Teufen;ZH;2018
276;ARBEITSMARKT;Freienstein-Teufen;ZH;2018
314;BEVÖLKERUNG;Freienstein-Teufen;ZH;2018
73;STEUERBELASTUNG;Freienstein-Teufen;ZH;2018
585;ERREICHBARKEIT;Freienstein-Teufen;ZH;2018
635;VERSORGUNG;Freienstein-Teufen;ZH;2018
828;SICHERHEIT;Freienstein-Teufen;ZH;2018
264;RANG;Echallens;VD;2018
VD;KANTON;Echallens;VD;2018
Echallens;GEMEINDE;Echallens;VD;2018
229;WOHNEN;Echallens;VD;2018
179;ARBEITSMARKT;Echallens;VD;2018
246;BEVÖLKERUNG;Echallens;VD;2018
756;STEUERBELASTUNG;Echallens;VD;2018
233;ERREICHBARKEIT;Echallens;VD;2018
214;VERSORGUNG;Echallens;VD;2018
130;SICHERHEIT;Echallens;VD;2018
265;RANG;Comano;TI;2018
TI;KANTON;Comano;TI;2018
Comano;GEMEINDE;Comano;TI;2018
2;WOHNEN;Comano;TI;2018
414;ARBEITSMARKT;Comano;TI;2018
43;BEVÖLKERUNG;Comano;TI;2018
145;STEUERBELASTUNG;Comano;TI;2018
240;ERREICHBARKEIT;Comano;TI;2018
136;VERSORGUNG;Comano;TI;2018
632;SICHERHEIT;Comano;TI;2018
266;RANG;Commugny;VD;2018
VD;KANTON;Commugny;VD;2018
Commugny;GEMEINDE;Commugny;VD;2018
300;WOHNEN;Commugny;VD;2018
193;ARBEITSMARKT;Commugny;VD;2018
23;BEVÖLKERUNG;Commugny;VD;2018
589;STEUERBELASTUNG;Commugny;VD;2018
448;ERREICHBARKEIT;Commugny;VD;2018
749;VERSORGUNG;Commugny;VD;2018
743;SICHERHEIT;Commugny;VD;2018
267;RANG;Nottwil;LU;2018
LU;KANTON;Nottwil;LU;2018
Nottwil;GEMEINDE;Nottwil;LU;2018
37;WOHNEN;Nottwil;LU;2018
128;ARBEITSMARKT;Nottwil;LU;2018
136;BEVÖLKERUNG;Nottwil;LU;2018
459;STEUERBELASTUNG;Nottwil;LU;2018
798;ERREICHBARKEIT;Nottwil;LU;2018
69;VERSORGUNG;Nottwil;LU;2018
73;SICHERHEIT;Nottwil;LU;2018
268;RANG;Blonay;VD;2018
VD;KANTON;Blonay;VD;2018
Blonay;GEMEINDE;Blonay;VD;2018
130;WOHNEN;Blonay;VD;2018
396;ARBEITSMARKT;Blonay;VD;2018
79;BEVÖLKERUNG;Blonay;VD;2018
714;STEUERBELASTUNG;Blonay;VD;2018
522;ERREICHBARKEIT;Blonay;VD;2018
479;VERSORGUNG;Blonay;VD;2018
864;SICHERHEIT;Blonay;VD;2018
269;RANG;Mörschwil;SG;2018
SG;KANTON;Mörschwil;SG;2018
Mörschwil;GEMEINDE;Mörschwil;SG;2018
73;WOHNEN;Mörschwil;SG;2018
323;ARBEITSMARKT;Mörschwil;SG;2018
77;BEVÖLKERUNG;Mörschwil;SG;2018
173;STEUERBELASTUNG;Mörschwil;SG;2018
515;ERREICHBARKEIT;Mörschwil;SG;2018
780;VERSORGUNG;Mörschwil;SG;2018
566;SICHERHEIT;Mörschwil;SG;2018
270;RANG;Niederwil (AG);AG;2018
AG;KANTON;Niederwil (AG);AG;2018
Niederwil (AG);GEMEINDE;Niederwil (AG);AG;2018
557;WOHNEN;Niederwil (AG);AG;2018
263;ARBEITSMARKT;Niederwil (AG);AG;2018
217;BEVÖLKERUNG;Niederwil (AG);AG;2018
259;STEUERBELASTUNG;Niederwil (AG);AG;2018
289;ERREICHBARKEIT;Niederwil (AG);AG;2018
455;VERSORGUNG;Niederwil (AG);AG;2018
37;SICHERHEIT;Niederwil (AG);AG;2018
271;RANG;Founex;VD;2018
VD;KANTON;Founex;VD;2018
Founex;GEMEINDE;Founex;VD;2018
185;WOHNEN;Founex;VD;2018
38;ARBEITSMARKT;Founex;VD;2018
1;BEVÖLKERUNG;Founex;VD;2018
589;STEUERBELASTUNG;Founex;VD;2018
508;ERREICHBARKEIT;Founex;VD;2018
693;VERSORGUNG;Founex;VD;2018
743;SICHERHEIT;Founex;VD;2018
272;RANG;Gaiserwald;SG;2018
SG;KANTON;Gaiserwald;SG;2018
Gaiserwald;GEMEINDE;Gaiserwald;SG;2018
204;WOHNEN;Gaiserwald;SG;2018
340;ARBEITSMARKT;Gaiserwald;SG;2018
151;BEVÖLKERUNG;Gaiserwald;SG;2018
489;STEUERBELASTUNG;Gaiserwald;SG;2018
715;ERREICHBARKEIT;Gaiserwald;SG;2018
132;VERSORGUNG;Gaiserwald;SG;2018
754;SICHERHEIT;Gaiserwald;SG;2018
273;RANG;Lancy;GE;2018
GE;KANTON;Lancy;GE;2018
Lancy;GEMEINDE;Lancy;GE;2018
314;WOHNEN;Lancy;GE;2018
173;ARBEITSMARKT;Lancy;GE;2018
238;BEVÖLKERUNG;Lancy;GE;2018
342;STEUERBELASTUNG;Lancy;GE;2018
104;ERREICHBARKEIT;Lancy;GE;2018
416;VERSORGUNG;Lancy;GE;2018
885;SICHERHEIT;Lancy;GE;2018
274;RANG;Tägerwilen;TG;2018
TG;KANTON;Tägerwilen;TG;2018
Tägerwilen;GEMEINDE;Tägerwilen;TG;2018
45;WOHNEN;Tägerwilen;TG;2018
195;ARBEITSMARKT;Tägerwilen;TG;2018
109;BEVÖLKERUNG;Tägerwilen;TG;2018
205;STEUERBELASTUNG;Tägerwilen;TG;2018
507;ERREICHBARKEIT;Tägerwilen;TG;2018
688;VERSORGUNG;Tägerwilen;TG;2018
652;SICHERHEIT;Tägerwilen;TG;2018
274;RANG;Rorschacherberg;SG;2018
SG;KANTON;Rorschacherberg;SG;2018
Rorschacherberg;GEMEINDE;Rorschacherberg;SG;2018
363;WOHNEN;Rorschacherberg;SG;2018
427;ARBEITSMARKT;Rorschacherberg;SG;2018
648;BEVÖLKERUNG;Rorschacherberg;SG;2018
450;STEUERBELASTUNG;Rorschacherberg;SG;2018
510;ERREICHBARKEIT;Rorschacherberg;SG;2018
620;VERSORGUNG;Rorschacherberg;SG;2018
566;SICHERHEIT;Rorschacherberg;SG;2018
276;RANG;Obersiggenthal;AG;2018
AG;KANTON;Obersiggenthal;AG;2018
Obersiggenthal;GEMEINDE;Obersiggenthal;AG;2018
709;WOHNEN;Obersiggenthal;AG;2018
488;ARBEITSMARKT;Obersiggenthal;AG;2018
427;BEVÖLKERUNG;Obersiggenthal;AG;2018
299;STEUERBELASTUNG;Obersiggenthal;AG;2018
322;ERREICHBARKEIT;Obersiggenthal;AG;2018
777;VERSORGUNG;Obersiggenthal;AG;2018
364;SICHERHEIT;Obersiggenthal;AG;2018
277;RANG;Füllinsdorf;BL;2018
BL;KANTON;Füllinsdorf;BL;2018
Füllinsdorf;GEMEINDE;Füllinsdorf;BL;2018
514;WOHNEN;Füllinsdorf;BL;2018
302;ARBEITSMARKT;Füllinsdorf;BL;2018
638;BEVÖLKERUNG;Füllinsdorf;BL;2018
550;STEUERBELASTUNG;Füllinsdorf;BL;2018
296;ERREICHBARKEIT;Füllinsdorf;BL;2018
556;VERSORGUNG;Füllinsdorf;BL;2018
316;SICHERHEIT;Füllinsdorf;BL;2018
278;RANG;Stetten (AG);AG;2018
AG;KANTON;Stetten (AG);AG;2018
Stetten (AG);GEMEINDE;Stetten (AG);AG;2018
748;WOHNEN;Stetten (AG);AG;2018
159;ARBEITSMARKT;Stetten (AG);AG;2018
137;BEVÖLKERUNG;Stetten (AG);AG;2018
272;STEUERBELASTUNG;Stetten (AG);AG;2018
435;ERREICHBARKEIT;Stetten (AG);AG;2018
807;VERSORGUNG;Stetten (AG);AG;2018
364;SICHERHEIT;Stetten (AG);AG;2018
279;RANG;Schmerikon;SG;2018
SG;KANTON;Schmerikon;SG;2018
Schmerikon;GEMEINDE;Schmerikon;SG;2018
844;WOHNEN;Schmerikon;SG;2018
139;ARBEITSMARKT;Schmerikon;SG;2018
244;BEVÖLKERUNG;Schmerikon;SG;2018
517;STEUERBELASTUNG;Schmerikon;SG;2018
398;ERREICHBARKEIT;Schmerikon;SG;2018
604;VERSORGUNG;Schmerikon;SG;2018
323;SICHERHEIT;Schmerikon;SG;2018
280;RANG;Romanel-Sur-Lausanne;VD;2018
VD;KANTON;Romanel-Sur-Lausanne;VD;2018
Romanel-Sur-Lausanne;GEMEINDE;Romanel-Sur-Lausanne;VD;2018
259;WOHNEN;Romanel-Sur-Lausanne;VD;2018
234;ARBEITSMARKT;Romanel-Sur-Lausanne;VD;2018
652;BEVÖLKERUNG;Romanel-Sur-Lausanne;VD;2018
714;STEUERBELASTUNG;Romanel-Sur-Lausanne;VD;2018
10;ERREICHBARKEIT;Romanel-Sur-Lausanne;VD;2018
617;VERSORGUNG;Romanel-Sur-Lausanne;VD;2018
915;SICHERHEIT;Romanel-Sur-Lausanne;VD;2018
281;RANG;Prangins;VD;2018
VD;KANTON;Prangins;VD;2018
Prangins;GEMEINDE;Prangins;VD;2018
880;WOHNEN;Prangins;VD;2018
96;ARBEITSMARKT;Prangins;VD;2018
45;BEVÖLKERUNG;Prangins;VD;2018
581;STEUERBELASTUNG;Prangins;VD;2018
691;ERREICHBARKEIT;Prangins;VD;2018
711;VERSORGUNG;Prangins;VD;2018
743;SICHERHEIT;Prangins;VD;2018
282;RANG;Buchrain;LU;2018
LU;KANTON;Buchrain;LU;2018
Buchrain;GEMEINDE;Buchrain;LU;2018
774;WOHNEN;Buchrain;LU;2018
212;ARBEITSMARKT;Buchrain;LU;2018
580;BEVÖLKERUNG;Buchrain;LU;2018
434;STEUERBELASTUNG;Buchrain;LU;2018
634;ERREICHBARKEIT;Buchrain;LU;2018
883;VERSORGUNG;Buchrain;LU;2018
273;SICHERHEIT;Buchrain;LU;2018
283;RANG;Meyrin;GE;2018
GE;KANTON;Meyrin;GE;2018
Meyrin;GEMEINDE;Meyrin;GE;2018
237;WOHNEN;Meyrin;GE;2018
225;ARBEITSMARKT;Meyrin;GE;2018
627;BEVÖLKERUNG;Meyrin;GE;2018
303;STEUERBELASTUNG;Meyrin;GE;2018
260;ERREICHBARKEIT;Meyrin;GE;2018
140;VERSORGUNG;Meyrin;GE;2018
885;SICHERHEIT;Meyrin;GE;2018
284;RANG;Heiden;AR;2018
AR;KANTON;Heiden;AR;2018
Heiden;GEMEINDE;Heiden;AR;2018
431;WOHNEN;Heiden;AR;2018
377;ARBEITSMARKT;Heiden;AR;2018
476;BEVÖLKERUNG;Heiden;AR;2018
477;STEUERBELASTUNG;Heiden;AR;2018
789;ERREICHBARKEIT;Heiden;AR;2018
250;VERSORGUNG;Heiden;AR;2018
32;SICHERHEIT;Heiden;AR;2018
285;RANG;Kirchlindach;BE;2018
BE;KANTON;Kirchlindach;BE;2018
Kirchlindach;GEMEINDE;Kirchlindach;BE;2018
449;WOHNEN;Kirchlindach;BE;2018
371;ARBEITSMARKT;Kirchlindach;BE;2018
190;BEVÖLKERUNG;Kirchlindach;BE;2018
736;STEUERBELASTUNG;Kirchlindach;BE;2018
85;ERREICHBARKEIT;Kirchlindach;BE;2018
229;VERSORGUNG;Kirchlindach;BE;2018
795;SICHERHEIT;Kirchlindach;BE;2018
286;RANG;Flüelen;UR;2018
UR;KANTON;Flüelen;UR;2018
Flüelen;GEMEINDE;Flüelen;UR;2018
481;WOHNEN;Flüelen;UR;2018
374;ARBEITSMARKT;Flüelen;UR;2018
466;BEVÖLKERUNG;Flüelen;UR;2018
149;STEUERBELASTUNG;Flüelen;UR;2018
836;ERREICHBARKEIT;Flüelen;UR;2018
186;VERSORGUNG;Flüelen;UR;2018
150;SICHERHEIT;Flüelen;UR;2018
287;RANG;Lonay;VD;2018
VD;KANTON;Lonay;VD;2018
Lonay;GEMEINDE;Lonay;VD;2018
258;WOHNEN;Lonay;VD;2018
369;ARBEITSMARKT;Lonay;VD;2018
71;BEVÖLKERUNG;Lonay;VD;2018
567;STEUERBELASTUNG;Lonay;VD;2018
154;ERREICHBARKEIT;Lonay;VD;2018
251;VERSORGUNG;Lonay;VD;2018
540;SICHERHEIT;Lonay;VD;2018
288;RANG;Bioggio;TI;2018
TI;KANTON;Bioggio;TI;2018
Bioggio;GEMEINDE;Bioggio;TI;2018
347;WOHNEN;Bioggio;TI;2018
365;ARBEITSMARKT;Bioggio;TI;2018
249;BEVÖLKERUNG;Bioggio;TI;2018
62;STEUERBELASTUNG;Bioggio;TI;2018
240;ERREICHBARKEIT;Bioggio;TI;2018
271;VERSORGUNG;Bioggio;TI;2018
632;SICHERHEIT;Bioggio;TI;2018
289;RANG;Neuenhof;AG;2018
AG;KANTON;Neuenhof;AG;2018
Neuenhof;GEMEINDE;Neuenhof;AG;2018
735;WOHNEN;Neuenhof;AG;2018
452;ARBEITSMARKT;Neuenhof;AG;2018
830;BEVÖLKERUNG;Neuenhof;AG;2018
426;STEUERBELASTUNG;Neuenhof;AG;2018
117;ERREICHBARKEIT;Neuenhof;AG;2018
457;VERSORGUNG;Neuenhof;AG;2018
364;SICHERHEIT;Neuenhof;AG;2018
290;RANG;Brütten;ZH;2018
ZH;KANTON;Brütten;ZH;2018
Brütten;GEMEINDE;Brütten;ZH;2018
576;WOHNEN;Brütten;ZH;2018
515;ARBEITSMARKT;Brütten;ZH;2018
185;BEVÖLKERUNG;Brütten;ZH;2018
44;STEUERBELASTUNG;Brütten;ZH;2018
276;ERREICHBARKEIT;Brütten;ZH;2018
364;VERSORGUNG;Brütten;ZH;2018
725;SICHERHEIT;Brütten;ZH;2018
291;RANG;Locarno;TI;2018
TI;KANTON;Locarno;TI;2018
Locarno;GEMEINDE;Locarno;TI;2018
148;WOHNEN;Locarno;TI;2018
615;ARBEITSMARKT;Locarno;TI;2018
866;BEVÖLKERUNG;Locarno;TI;2018
284;STEUERBELASTUNG;Locarno;TI;2018
243;ERREICHBARKEIT;Locarno;TI;2018
17;VERSORGUNG;Locarno;TI;2018
622;SICHERHEIT;Locarno;TI;2018
292;RANG;Horn;TG;2018
TG;KANTON;Horn;TG;2018
Horn;GEMEINDE;Horn;TG;2018
508;WOHNEN;Horn;TG;2018
479;ARBEITSMARKT;Horn;TG;2018
423;BEVÖLKERUNG;Horn;TG;2018
155;STEUERBELASTUNG;Horn;TG;2018
496;ERREICHBARKEIT;Horn;TG;2018
33;VERSORGUNG;Horn;TG;2018
496;SICHERHEIT;Horn;TG;2018
293;RANG;Chur;GR;2018
GR;KANTON;Chur;GR;2018
Chur;GEMEINDE;Chur;GR;2018
14;WOHNEN;Chur;GR;2018
332;ARBEITSMARKT;Chur;GR;2018
698;BEVÖLKERUNG;Chur;GR;2018
272;STEUERBELASTUNG;Chur;GR;2018
428;ERREICHBARKEIT;Chur;GR;2018
272;VERSORGUNG;Chur;GR;2018
688;SICHERHEIT;Chur;GR;2018
293;RANG;Neuchâtel;NE;2018
NE;KANTON;Neuchâtel;NE;2018
Neuchâtel;GEMEINDE;Neuchâtel;NE;2018
286;WOHNEN;Neuchâtel;NE;2018
362;ARBEITSMARKT;Neuchâtel;NE;2018
858;BEVÖLKERUNG;Neuchâtel;NE;2018
899;STEUERBELASTUNG;Neuchâtel;NE;2018
149;ERREICHBARKEIT;Neuchâtel;NE;2018
14;VERSORGUNG;Neuchâtel;NE;2018
696;SICHERHEIT;Neuchâtel;NE;2018
295;RANG;Puplinge;GE;2018
GE;KANTON;Puplinge;GE;2018
Puplinge;GEMEINDE;Puplinge;GE;2018
760;WOHNEN;Puplinge;GE;2018
45;ARBEITSMARKT;Puplinge;GE;2018
62;BEVÖLKERUNG;Puplinge;GE;2018
329;STEUERBELASTUNG;Puplinge;GE;2018
320;ERREICHBARKEIT;Puplinge;GE;2018
172;VERSORGUNG;Puplinge;GE;2018
885;SICHERHEIT;Puplinge;GE;2018
296;RANG;Versoix;GE;2018
GE;KANTON;Versoix;GE;2018
Versoix;GEMEINDE;Versoix;GE;2018
194;WOHNEN;Versoix;GE;2018
298;ARBEITSMARKT;Versoix;GE;2018
354;BEVÖLKERUNG;Versoix;GE;2018
324;STEUERBELASTUNG;Versoix;GE;2018
298;ERREICHBARKEIT;Versoix;GE;2018
662;VERSORGUNG;Versoix;GE;2018
885;SICHERHEIT;Versoix;GE;2018
297;RANG;Oberkirch;LU;2018
LU;KANTON;Oberkirch;LU;2018
Oberkirch;GEMEINDE;Oberkirch;LU;2018
68;WOHNEN;Oberkirch;LU;2018
106;ARBEITSMARKT;Oberkirch;LU;2018
73;BEVÖLKERUNG;Oberkirch;LU;2018
223;STEUERBELASTUNG;Oberkirch;LU;2018
811;ERREICHBARKEIT;Oberkirch;LU;2018
453;VERSORGUNG;Oberkirch;LU;2018
73;SICHERHEIT;Oberkirch;LU;2018
298;RANG;Ettingen;BL;2018
BL;KANTON;Ettingen;BL;2018
Ettingen;GEMEINDE;Ettingen;BL;2018
439;WOHNEN;Ettingen;BL;2018
318;ARBEITSMARKT;Ettingen;BL;2018
234;BEVÖLKERUNG;Ettingen;BL;2018
546;STEUERBELASTUNG;Ettingen;BL;2018
431;ERREICHBARKEIT;Ettingen;BL;2018
384;VERSORGUNG;Ettingen;BL;2018
199;SICHERHEIT;Ettingen;BL;2018
299;RANG;Gersau;SZ;2018
SZ;KANTON;Gersau;SZ;2018
Gersau;GEMEINDE;Gersau;SZ;2018
323;WOHNEN;Gersau;SZ;2018
292;ARBEITSMARKT;Gersau;SZ;2018
342;BEVÖLKERUNG;Gersau;SZ;2018
54;STEUERBELASTUNG;Gersau;SZ;2018
796;ERREICHBARKEIT;Gersau;SZ;2018
496;VERSORGUNG;Gersau;SZ;2018
156;SICHERHEIT;Gersau;SZ;2018
300;RANG;Lausanne;VD;2018
VD;KANTON;Lausanne;VD;2018
Lausanne;GEMEINDE;Lausanne;VD;2018
135;WOHNEN;Lausanne;VD;2018
246;ARBEITSMARKT;Lausanne;VD;2018
736;BEVÖLKERUNG;Lausanne;VD;2018
812;STEUERBELASTUNG;Lausanne;VD;2018
1;ERREICHBARKEIT;Lausanne;VD;2018
41;VERSORGUNG;Lausanne;VD;2018
915;SICHERHEIT;Lausanne;VD;2018
301;RANG;Epalinges;VD;2018
VD;KANTON;Epalinges;VD;2018
Epalinges;GEMEINDE;Epalinges;VD;2018
131;WOHNEN;Epalinges;VD;2018
390;ARBEITSMARKT;Epalinges;VD;2018
81;BEVÖLKERUNG;Epalinges;VD;2018
657;STEUERBELASTUNG;Epalinges;VD;2018
17;ERREICHBARKEIT;Epalinges;VD;2018
640;VERSORGUNG;Epalinges;VD;2018
915;SICHERHEIT;Epalinges;VD;2018
302;RANG;Coldrerio;TI;2018
TI;KANTON;Coldrerio;TI;2018
Coldrerio;GEMEINDE;Coldrerio;TI;2018
386;WOHNEN;Coldrerio;TI;2018
410;ARBEITSMARKT;Coldrerio;TI;2018
451;BEVÖLKERUNG;Coldrerio;TI;2018
180;STEUERBELASTUNG;Coldrerio;TI;2018
164;ERREICHBARKEIT;Coldrerio;TI;2018
119;VERSORGUNG;Coldrerio;TI;2018
765;SICHERHEIT;Coldrerio;TI;2018
303;RANG;Rorbas;ZH;2018
ZH;KANTON;Rorbas;ZH;2018
Rorbas;GEMEINDE;Rorbas;ZH;2018
570;WOHNEN;Rorbas;ZH;2018
238;ARBEITSMARKT;Rorbas;ZH;2018
373;BEVÖLKERUNG;Rorbas;ZH;2018
99;STEUERBELASTUNG;Rorbas;ZH;2018
425;ERREICHBARKEIT;Rorbas;ZH;2018
600;VERSORGUNG;Rorbas;ZH;2018
828;SICHERHEIT;Rorbas;ZH;2018
304;RANG;Gais;AR;2018
AR;KANTON;Gais;AR;2018
Gais;GEMEINDE;Gais;AR;2018
126;WOHNEN;Gais;AR;2018
271;ARBEITSMARKT;Gais;AR;2018
398;BEVÖLKERUNG;Gais;AR;2018
498;STEUERBELASTUNG;Gais;AR;2018
821;ERREICHBARKEIT;Gais;AR;2018
148;VERSORGUNG;Gais;AR;2018
34;SICHERHEIT;Gais;AR;2018
305;RANG;Castel San Pietro;TI;2018
TI;KANTON;Castel San Pietro;TI;2018
Castel San Pietro;GEMEINDE;Castel San Pietro;TI;2018
464;WOHNEN;Castel San Pietro;TI;2018
396;ARBEITSMARKT;Castel San Pietro;TI;2018
215;BEVÖLKERUNG;Castel San Pietro;TI;2018
180;STEUERBELASTUNG;Castel San Pietro;TI;2018
246;ERREICHBARKEIT;Castel San Pietro;TI;2018
92;VERSORGUNG;Castel San Pietro;TI;2018
765;SICHERHEIT;Castel San Pietro;TI;2018
306;RANG;Savigny;VD;2018
VD;KANTON;Savigny;VD;2018
Savigny;GEMEINDE;Savigny;VD;2018
411;WOHNEN;Savigny;VD;2018
254;ARBEITSMARKT;Savigny;VD;2018
412;BEVÖLKERUNG;Savigny;VD;2018
699;STEUERBELASTUNG;Savigny;VD;2018
94;ERREICHBARKEIT;Savigny;VD;2018
72;VERSORGUNG;Savigny;VD;2018
234;SICHERHEIT;Savigny;VD;2018
307;RANG;Rapperswil-Jona;SG;2018
SG;KANTON;Rapperswil-Jona;SG;2018
Rapperswil-Jona;GEMEINDE;Rapperswil-Jona;SG;2018
252;WOHNEN;Rapperswil-Jona;SG;2018
511;ARBEITSMARKT;Rapperswil-Jona;SG;2018
363;BEVÖLKERUNG;Rapperswil-Jona;SG;2018
248;STEUERBELASTUNG;Rapperswil-Jona;SG;2018
76;ERREICHBARKEIT;Rapperswil-Jona;SG;2018
293;VERSORGUNG;Rapperswil-Jona;SG;2018
323;SICHERHEIT;Rapperswil-Jona;SG;2018
308;RANG;Wald (ZH);ZH;2018
ZH;KANTON;Wald (ZH);ZH;2018
Wald (ZH);GEMEINDE;Wald (ZH);ZH;2018
565;WOHNEN;Wald (ZH);ZH;2018
289;ARBEITSMARKT;Wald (ZH);ZH;2018
680;BEVÖLKERUNG;Wald (ZH);ZH;2018
200;STEUERBELASTUNG;Wald (ZH);ZH;2018
299;ERREICHBARKEIT;Wald (ZH);ZH;2018
273;VERSORGUNG;Wald (ZH);ZH;2018
540;SICHERHEIT;Wald (ZH);ZH;2018
309;RANG;Granges-Paccot;FR;2018
FR;KANTON;Granges-Paccot;FR;2018
Granges-Paccot;GEMEINDE;Granges-Paccot;FR;2018
227;WOHNEN;Granges-Paccot;FR;2018
234;ARBEITSMARKT;Granges-Paccot;FR;2018
493;BEVÖLKERUNG;Granges-Paccot;FR;2018
479;STEUERBELASTUNG;Granges-Paccot;FR;2018
262;ERREICHBARKEIT;Granges-Paccot;FR;2018
504;VERSORGUNG;Granges-Paccot;FR;2018
845;SICHERHEIT;Granges-Paccot;FR;2018
310;RANG;Sins;AG;2018
AG;KANTON;Sins;AG;2018
Sins;GEMEINDE;Sins;AG;2018
536;WOHNEN;Sins;AG;2018
349;ARBEITSMARKT;Sins;AG;2018
276;BEVÖLKERUNG;Sins;AG;2018
331;STEUERBELASTUNG;Sins;AG;2018
571;ERREICHBARKEIT;Sins;AG;2018
425;VERSORGUNG;Sins;AG;2018
4;SICHERHEIT;Sins;AG;2018
311;RANG;Sirnach;TG;2018
TG;KANTON;Sirnach;TG;2018
Sirnach;GEMEINDE;Sirnach;TG;2018
217;WOHNEN;Sirnach;TG;2018
464;ARBEITSMARKT;Sirnach;TG;2018
496;BEVÖLKERUNG;Sirnach;TG;2018
359;STEUERBELASTUNG;Sirnach;TG;2018
295;ERREICHBARKEIT;Sirnach;TG;2018
382;VERSORGUNG;Sirnach;TG;2018
56;SICHERHEIT;Sirnach;TG;2018
312;RANG;Le Grand-Saconnex;GE;2018
GE;KANTON;Le Grand-Saconnex;GE;2018
Le Grand-Saconnex;GEMEINDE;Le Grand-Saconnex;GE;2018
597;WOHNEN;Le Grand-Saconnex;GE;2018
405;ARBEITSMARKT;Le Grand-Saconnex;GE;2018
371;BEVÖLKERUNG;Le Grand-Saconnex;GE;2018
303;STEUERBELASTUNG;Le Grand-Saconnex;GE;2018
10;ERREICHBARKEIT;Le Grand-Saconnex;GE;2018
244;VERSORGUNG;Le Grand-Saconnex;GE;2018
885;SICHERHEIT;Le Grand-Saconnex;GE;2018
313;RANG;Balerna;TI;2018
TI;KANTON;Balerna;TI;2018
Balerna;GEMEINDE;Balerna;TI;2018
368;WOHNEN;Balerna;TI;2018
554;ARBEITSMARKT;Balerna;TI;2018
865;BEVÖLKERUNG;Balerna;TI;2018
268;STEUERBELASTUNG;Balerna;TI;2018
67;ERREICHBARKEIT;Balerna;TI;2018
412;VERSORGUNG;Balerna;TI;2018
765;SICHERHEIT;Balerna;TI;2018
314;RANG;Niederrohrdorf;AG;2018
AG;KANTON;Niederrohrdorf;AG;2018
Niederrohrdorf;GEMEINDE;Niederrohrdorf;AG;2018
341;WOHNEN;Niederrohrdorf;AG;2018
241;ARBEITSMARKT;Niederrohrdorf;AG;2018
178;BEVÖLKERUNG;Niederrohrdorf;AG;2018
234;STEUERBELASTUNG;Niederrohrdorf;AG;2018
251;ERREICHBARKEIT;Niederrohrdorf;AG;2018
198;VERSORGUNG;Niederrohrdorf;AG;2018
364;SICHERHEIT;Niederrohrdorf;AG;2018
315;RANG;Jonen;AG;2018
AG;KANTON;Jonen;AG;2018
Jonen;GEMEINDE;Jonen;AG;2018
873;WOHNEN;Jonen;AG;2018
219;ARBEITSMARKT;Jonen;AG;2018
62;BEVÖLKERUNG;Jonen;AG;2018
251;STEUERBELASTUNG;Jonen;AG;2018
548;ERREICHBARKEIT;Jonen;AG;2018
642;VERSORGUNG;Jonen;AG;2018
37;SICHERHEIT;Jonen;AG;2018
316;RANG;Bernex;GE;2018
GE;KANTON;Bernex;GE;2018
Bernex;GEMEINDE;Bernex;GE;2018
443;WOHNEN;Bernex;GE;2018
249;ARBEITSMARKT;Bernex;GE;2018
114;BEVÖLKERUNG;Bernex;GE;2018
365;STEUERBELASTUNG;Bernex;GE;2018
181;ERREICHBARKEIT;Bernex;GE;2018
584;VERSORGUNG;Bernex;GE;2018
885;SICHERHEIT;Bernex;GE;2018
316;RANG;Hitzkirch;LU;2018
LU;KANTON;Hitzkirch;LU;2018
Hitzkirch;GEMEINDE;Hitzkirch;LU;2018
503;WOHNEN;Hitzkirch;LU;2018
78;ARBEITSMARKT;Hitzkirch;LU;2018
271;BEVÖLKERUNG;Hitzkirch;LU;2018
521;STEUERBELASTUNG;Hitzkirch;LU;2018
812;ERREICHBARKEIT;Hitzkirch;LU;2018
116;VERSORGUNG;Hitzkirch;LU;2018
177;SICHERHEIT;Hitzkirch;LU;2018
318;RANG;Ennetbürgen;NW;2018
NW;KANTON;Ennetbürgen;NW;2018
Ennetbürgen;GEMEINDE;Ennetbürgen;NW;2018
460;WOHNEN;Ennetbürgen;NW;2018
378;ARBEITSMARKT;Ennetbürgen;NW;2018
